player_id,full_name,firstname,lastname,age,team_id,league_id
8598,T. Awoniyi,Taiwo Micheal,Awoniyi,27,65,39
14206,B. Aguilera,Brandon,Aguilera Zamora,21,65,39
18746,M. Gibbs-White,Morgan Anthony,Gibbs-White,24,65,39
18931,C. Wood,Christopher Grant,Wood,33,65,39
19061,T. Krul,Timothy Michael,Krul,36,1359,39
19305,R. Yates,Ryan James,Yates,27,65,39
19750,J. Shea,James William,Shea,33,1359,39
22149,I. Sangaré,Ibrahim,Sangaré,27,65,39
24882,O. Mangala,Orel Johnson,Mangala,26,65,39
129712,A. Mighten,Alexander Cole,Mighten,22,65,39
153430,A. Elanga,Anthony David,Junior Elanga,22,"65, 33",39
275170,Danilo,Danilo,dos Santos de Oliveira,23,65,39
327602,D. Osong,Detlef Esapa,Osong,20,65,39
327604,J. Gardner,Joseph Charles,Gardner,19,65,39
327609,J. McDonnell,Jamie Carson,McDonnell,20,65,39
62,E. Horvath,Ethan Shea,Horvath,29,65,39
163,S. Aurier,Sèrge Alain Stéphane,Aurier,32,65,39
371,Felipe,Felipe Augusto,de Almeida Monteiro,35,65,39
557,O. Vlachodimos,Odysseas,Vlachodimos,30,65,39
1746,J. Worrall,Joseph Adrian,Worrall,27,65,39
2468,G. Montiel,Gonzalo Ariel,Montiel,27,65,39
2699,S. Ghoddos,Sayed Saman,Ghoddos,31,55,39
2771,O. Aina,Temitayo Olufisayo Olaoluwa,Aina,28,65,39
17365,H. Toffolo,Harry Stefano,Toffolo,29,65,39
18739,W. Boly,Willy-Arnaud,Zobo Boly,33,65,39
18836,W. Hennessey,Wayne Robert,Hennessey,37,65,39
19364,N. Maupay,Neal,Maupay,28,"55, 45",39
19974,I. Toney,Ivan Benjamin Elijah,Toney,28,55,39
41577,Nuno Tavares,Nuno Albertino,Varela Tavares,24,"65, 42",39
50816,R. Laryea,Richmond Mamah,Laryea,29,65,39
50999,M. Turner,Matthew Charles,Turner,30,"65, 42",39
