name,firstname,lastname,age,team_id,league_id
J. Whitworth,Joseph Charles,Whitworth,19,52,39
N. Fraser,Nathan John Mark,Fraser,18,39,39
S. Grehan,Seán,Grehan,19,52,39
E. González,Enso David,González Medina,18,39,39
E. Ballard-Matthews,Emilio,Ballard-Matthews,16,39,39
Nélson Semedo,Nélson,Cabral Semedo,30,39,39
Pedro Neto,Pedro,Lomba Neto,23,39,39
Pablo Sarabia,Pablo,Sarabia García,31,39,39
Jonny,Jonathan,Castro Otto,29,39,39
M. Doherty,Matthew James,Doherty,31,39,39
M. Kilman,Maximilian William,Kilman,26,39,39
M. Lemina,Mario René Junior,Lemina,30,39,39
C. Dawson,Craig,Dawson,33,39,39
D. Bentley,Daniel Ian,Bentley,30,39,39
J. Bellegarde,Jean-Ricner,Bellegarde,25,39,39
Toti Gomes,Tote António,Gomes,24,39,39
T. King,Thomas Lloyd,King,28,39,39
K. Lewis-Potter,Keane William,Lewis-Potter,22,55,39
Fábio Silva,Fábio Daniel,Soares Silva,21,39,39
S. Bueno,Santiago Ignacio,Bueno Sciutto,25,39,39
B. Traoré,Boubacar,Traoré,22,39,39
João Gomes,João Victor,Gomes da Silva,22,39,39
J. Hodge,Joseph Shaun,Hodge,21,39,39
Hugo Bueno,Hugo,Bueno López,21,39,39
M. Olakigbe,Michael Oluwakorede,Olakigbe,19,55,39
S. Ghoddos,Sayed Saman,Ghoddos,30,55,39
M. Roerslev,Mads,Roerslev Rasmussen,24,55,39
F. Onyeka,Ogochukwu Frank,Onyeka,25,55,39
M. Damsgaard,Mikkel,Krogh Damsgaard,23,55,39
J. Dasilva,Pelenda Joshua Tunga,Dasilva,25,55,39
N. Maupay,Neal,Maupay,27,"55, 45",39
N. Collins,Nathan Michael,Collins,22,55,39
I. Toney,Ivan Benjamin Elijah,Toney,27,55,39
S. Baptiste,Shandon Harkeem,Baptiste,25,55,39
B. Mbeumo,Bryan Tetsadong Marceau,Mbeumo,24,55,39
Y. Wissa,Yoane,Wissa,27,55,39
V. Janelt,Vitaly,Janelt,25,55,39
C. Nørgaard,Christian,Thers Nørgaard,29,55,39
M. Jensen,Mathias,Jensen,27,55,39
E. Brierley,Ethan Craig,Brierley,20,55,39
K. Schade,Kevin,Schade,22,55,39
M. Peart-Harris,Myles,Spencer Peart-Harris,21,55,39
Y. Yarmolyuk,Yehor,Yarmolyuk,19,55,39
V. Adedokun,Valintino,Adedokun,20,55,39
Kim Ji-Soo,Ji-Soo,Kim,19,55,39
C. Nkunku,Christopher Alan,Nkunku,26,49,39
R. Sterling,Raheem Shaquille,Sterling,29,49,39
K. Ajer,Kristoffer,Vassbakk Ajer,25,55,39
T. Strakosha,Thomas,Strakosha,28,55,39
M. Jørgensen,Mathias,Jattah-Njie Jørgensen,33,55,39
C. Goode,Charles James,Goode,28,55,39
B. Mee,Benjamin Thomas,Mee,34,55,39
E. Balcombe,Ellery Ronald,Balcombe,24,55,39
R. Henry,Rico Antonio,Henry,26,55,39
E. Pinnock,Ethan Rupert,Pinnock,30,55,39
M. Flekken,Mark,Flekken,30,55,39
A. Hickey,Aaron,Buchanan Hickey,21,55,39
N. Madueke,Chukwunonso Tristan,Madueke,21,49,39
A. Broja,Armando,Broja,22,49,39
R. Lavia,Roméo,Lavia,19,49,39
N. Jackson,Nicolas,Jackson,22,49,39
L. Castledine,Leo Alexander Francis,Castledine,18,49,39
R. Stutter,Ronnie,Stutter,18,49,39
A. Matos,Alex,Matos,19,49,39
Deivid Washington,Deivid Washington,de Souza Eugênio,18,49,39
B. Badiashile,Benoît Ntambue,Badiashile Mukinayi Baya,22,49,39
B. Chilwell,Benjamin James,Chilwell,27,49,39
E. Fernández,Enzo Jeremías,Fernández,22,49,39
R. James,Reece Lewis,James,24,49,39
T. Chalobah,Trevoh Thomas,Chalobah,24,49,39
A. Disasi,Axel Wilson Arthur,Disasi Mhakinis Belho,25,49,39
W. Fofana,Wesley Tidjan,Fofana,23,49,39
M. Sarr,Malang Mamadou William Georges,Sarr,24,49,39
Marc Cucurella,Marc,Cucurella Saseta,25,49,39
M. Caicedo,Moisés Isaac,Caicedo Corozo,22,"49, 51",39
Đ. Petrović,Đorđe,Petrović,24,49,39
I. Maatsen,Ian Ethan,Maatsen,21,49,39
C. Chukwuemeka,Carney Chibueze,Chukwuemeka,20,49,39
L. Colwill,Levi Lemar,Samuels Colwill,20,49,39
L. Bergström,Lucas Carl Edvard,Bergström,21,49,39
M. Gusto,Malo,Gusto,20,49,39
J. Brooking,Joshua Royston,Brooking,21,49,39
L. Ugochukwu,Lesley Chimuanya,Ugochukwu,19,49,39
A. Gilchrist,Alfie,Gilchrist,20,49,39
C. Marshall,Callum,Marshall,19,48,39
T. Kehrer,Jan Thilo,Kehrer,27,48,39
M. Cornet,Gnaly Albert Maxwel,Cornet,27,48,39
T. Souček,Tomáš,Souček,28,48,39
Lucas Paquetá,Lucas,Tolentino Coelho de Lima,26,48,39
Pablo Fornals,Pablo,Fornals Malla,27,48,39
Emerson,Emerson,Palmieri dos Santos,29,48,39
E. Álvarez,Edson Omar,Álvarez Velázquez,26,48,39
J. Ward-Prowse,James Michael Edward,Ward-Prowse,29,48,39
M. Kudus,Mohammed,Kudus,23,48,39
A. Ogbonna,Angelo,Obinze Ogbonna,35,48,39
M. Antonio,Michail Gregory,Antonio,33,48,39
C. Coventry,Conor James,Coventry,23,48,39
B. Johnson,Benjamin Anthony,Johnson,23,48,39
D. Ings,Daniel William John,Ings,31,48,39
Robert Sánchez,Robert,Lynch Sánchez,26,"49, 51",39
M. Bettinelli,Marcus,Bettinelli,31,49,39
J. Bowen,Jarrod,Bowen,27,48,39
D. Chesters,Daniel Peter James,Chesters,21,48,39
D. Mubama,Divin Saku,Mubama,19,48,39
E. Beach,Edward James,Beach,20,49,39
N. Vlašić,Nikola,Vlašić,26,48,39
P. Aubameyang,Pierre-Emerick Emiliano Franço,Aubameyang,34,49,39
Daniel Podence,Daniel,Castelo Podence,28,39,39
E. Ampadu,Ethan Kwame Colm Raymond,Ampadu,23,49,39
R. Freuler,Remo Marco,Freuler,31,65,39
Gustavo Scarpa,Gustavo Henrique,Furtado Scarpa,29,65,39
I. Ndiaye,Iliman Cheikh,Baroy Ndiaye,23,62,39
R. Fraser,Ryan,Fraser,29,34,39
M. Holgate,Mason Anthony,Holgate,27,45,39
K. Davis,Keinan Vincent Joseph,Davis,25,66,39
J. Rodon,Joseph Peter,Rodon,26,47,39
O. Richards,Omar,Tyrell Crawford Richards,25,65,39
F. Downes,Flynn,Downes,24,48,39
N. Bishop,Nathan James,Bishop,24,33,39
K. Kozłowski,Kacper Szymon,Kozłowski,20,51,39
J. Anthony,Jaidon Kya Denley,Anthony,24,35,39
J. O&apos;Brien,Jake,O'Brien,22,52,39
Marquinhos,Marcus Vinícius,Oliveira Alencar,20,42,39
M. Burstow,Mason Paul James,Burstow,20,49,39
Diego Moreira,Diego Manuel Jadon,da Silva Moreira,19,49,39
K. Trippier,Kieran John,Trippier,33,34,39
L. Karius,Loris Sven,Karius,30,34,39
M. Almirón,Miguel Ángel,Almirón Rejala,29,34,39
F. Schär,Fabian Lukas,Schär,32,34,39
E. Krafth,Emil Henry Kristoffer,Krafth,29,34,39
H. Barnes,Harvey Lewis,Barnes,26,34,39
P. Dummett,Paul,Dummett,32,34,39
J. Lascelles,Jamaal,Lascelles,30,34,39
Javier Manquillo,Javier,Manquillo Gaitán,29,34,39
M. Ritchie,Matthew Thomas,Ritchie,34,34,39
N. Pope,Nicholas David,Pope,31,34,39
M. Targett,Matthew Robert,Targett,28,34,39
D. Burn,Daniel Johnson,Burn,31,34,39
J. Murphy,Jacob Kai,Murphy,28,34,39
S. Tonali,Sandro,Tonali,23,34,39
S. Botman,Sven Adriaan,Botman,23,34,39
M. Gillespie,Mark Joseph,Gillespie,31,34,39
T. Livramento,Valentino Francisco,Livramento,21,34,39
L. Hall,Lewis Kieran,Hall,19,"34, 49",39
A. Murphy,Alex,Murphy,19,34,39
J. Sancho,Jadon Malik,Sancho,23,33,39
C. Eriksen,Christian,Dannemann Eriksen,31,33,39
D. van de Beek,Donny,van de Beek,26,33,39
Casemiro,Carlos Henrique,Casimiro,31,33,39
S. McTominay,Scott Francis,McTominay,27,33,39
A. Martial,Anthony Jordan,Martial,28,33,39
M. Rashford,Marcus,Rashford,26,33,39
Bruno Fernandes,Bruno Miguel,Borges Fernandes,29,33,39
Antony,Antony Matheus,dos Santos,23,33,39
M. Dúbravka,Martin,Dúbravka,34,34,39
M. Mount,Mason Tony,Mount,24,33,39
F. Pellistri,Facundo,Pellistri Rebollo,22,33,39
A. Diallo,Amad,Diallo Traoré,21,33,39
S. Shoretire,Shola Maxwell,Shoretire,19,33,39
H. Mejbri,Hannibal,Mejbri,20,33,39
O. Forson,Omari Nathan,Forson,19,33,39
K. Mainoo,Kobbie Boateng,Mainoo,18,33,39
A. Garnacho,Alejandro,Garnacho Ferreyra,19,"33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33",39
R. Højlund,Rasmus,Winther Højlund,20,33,39
D. Gore,Daniel,Gore,19,33,39
S. Amrabat,Sofyan,Amrabat,27,33,39
M. Diaby,Moussa,Diaby,24,66,39
A. Onana,André,Onana Onana,27,33,39
Sergio Reguilón,Sergio,Reguilón Rodríguez,27,"33, 47",39
R. Varane,Raphaël Xavier,Varane,30,33,39
Diogo Dalot,José Diogo,Dalot Teixeira,24,33,39
V. Lindelöf,Victor Jörgen,Nilsson Lindelöf,29,33,39
L. Shaw,Luke Paul Hoare,Shaw,28,33,39
Lisandro Martínez,Lisandro,Martínez,25,33,39
T. Heaton,Thomas David,Heaton,37,33,39
J. Durán,Jhon Jader,Durán Palacio,20,66,39
J. Evans,Jonathan Grant,Evans,35,33,39
A. Wan-Bissaka,Aaron,Wan-Bissaka,26,33,39
O. Watkins,Oliver George Arthur,Watkins,28,66,39
T. Malacia,Tyrell Johannes Chicco,Malacia,24,33,39
A. Bayındır,Altay,Bayındır,25,33,39
R. Vítek,Radek,Vítek,20,33,39
T. Patterson,Travis,Patterson,18,66,39
K. Young,Kadan,Young,17,66,39
O. Kellyman,Omari Jamian,Kellyman,18,66,39
M. Diaby,Moussa,Diaby,24,66,39
A. Onana,André,Onana Onana,27,33,39
B. Traoré,Bertrand Isidore,Traoré,28,66,39
